Date,Sales_USD_cumsum,AverageUSD_cum,Secondary_Sales_cumsum,Primary_Sales_cumsum,Number_of_Sales_cumsum,Active_Market_Wallets_cumsum,secondary_sales_ratio,primary_sales_ratio
2018-01,35753064.73238095,43.270476190476195,982.0,516505.85714285716,826435.2380952381,60650.333333333336,0.0011882358770946243,0.6249804380719487
2018-02,37950220.1825,41.96214285714286,1461.2857142857142,565992.2142857143,904582.3928571428,63836.892857142855,0.0016154257763852909,0.625694484830747
2018-03,41854524.215483874,39.77225806451612,1181.8064516129032,672137.3225806452,1052850.8387096773,67681.09677419355,0.001122482319585999,0.6383974803158099
2018-04,44750242.14633333,38.22699999999999,1010.6,756712.1,1171155.4333333333,71937.56666666667,0.0008629085185760854,0.6461243985747067
2018-05,46795275.05999999,36.90677419354839,639.1935483870968,830112.7741935484,1268156.8064516129,75357.29032258065,0.0005040335273487219,0.6545821226290297
2018-06,48268299.30433333,35.736666666666665,575.0333333333333,894327.3333333334,1350877.6666666667,78680.53333333334,0.00042567387671175745,0.6620342873386265
2018-07,49755383.745483875,35.01354838709678,454.6774193548387,950097.5161290322,1421083.7096774194,81145.32258064517,0.0003199511867306176,0.6685725194504557
2018-08,52583512.08774193,35.05096774193549,773.3225806451613,1010727.6129032258,1500563.8709677418,84045.67741935483,0.0005153546580769209,0.6735652060257779
2018-09,55310541.36933334,33.09133333333333,1130.9333333333334,1150353.9333333333,1672093.1333333333,87209.3,0.0006763578599708781,0.6879724044079363
2018-10,58325261.17161291,32.004193548387086,875.2903225806451,1272032.0967741935,1822797.2258064516,89844.70967741935,0.00048019072565430007,0.697846188684764
2018-11,61225714.686666675,31.179666666666662,960.4,1385256.2,1964099.5333333334,92195.1,0.0004889772558369666,0.7052881875334694
2018-12,66006365.71999999,30.863548387096767,1319.6129032258063,1518998.5806451612,2137465.709677419,95006.6129032258,0.0006173726657935294,0.7106540113218492
2019-01,72442771.60258064,32.01967741935484,1105.6451612903227,1612230.0322580645,2262715.193548387,97637.25806451614,0.0004886364684529525,0.7125200895167755
2019-02,74605250.26250002,31.27785714285715,1172.357142857143,1700519.2857142857,2385588.964285714,100595.21428571429,0.0004914330005748356,0.7128299598851683
2019-03,76391262.74419355,30.243225806451612,1460.9032258064517,1803227.0,2526561.0,103497.96774193548,0.0005782180702569429,0.7137080798761637
2019-04,78622774.11800002,29.08933333333333,1081.4666666666667,1939874.3333333333,2703121.3666666667,106906.16666666667,0.0004000806919003674,0.7176423364687744
2019-05,80655803.93161292,28.468387096774187,1178.3870967741937,2036657.064516129,2833357.0967741935,110776.45161290323,0.00041589784009781177,0.7188141116539402
2019-06,83086538.851,28.18033333333333,1202.8333333333333,2113914.7333333334,2948459.6,114652.26666666666,0.0004079531336747274,0.7169556378976104
2019-07,84918973.44999997,27.983225806451614,855.0322580645161,2169427.419354839,3034602.0,117649.80645161291,0.0002817609222113859,0.7148968528178782
2019-08,86217089.47999999,27.496451612903225,862.8387096774194,2243795.2258064514,3135859.193548387,120455.32258064517,0.00027515224900805346,0.7155280538178377
2019-09,87461801.52866668,27.115333333333343,593.9333333333333,2311403.7,3225477.0,123082.26666666666,0.0001841381393615063,0.7166083342091728
2019-10,89202664.9283871,26.95064516129034,828.516129032258,2375091.580645161,3309897.419354839,125498.70967741935,0.0002503147451602145,0.7175725648645966
2019-11,91540661.65000004,26.627,3932.266666666667,2462166.433333333,3438523.7666666666,130184.06666666667,0.0011435915333162401,0.7160533416118213
2019-12,93907585.87258065,25.352580645161286,4847.774193548387,2545567.4838709678,3704495.064516129,134950.06451612903,0.001308619422923051,0.6871563977109693
2020-01,96384939.53468749,24.5225,5019.65625,2630422.09375,3931316.6875,138425.0625,0.001276838435824944,0.6690944288751095
2020-02,99762308.88413793,24.036551724137933,3158.6206896551726,2727526.724137931,4150297.9310344825,143636.5172413793,0.0007610587823192419,0.6571881752734994
2020-03,102949079.03290321,23.74258064516129,3543.4193548387098,2806998.8387096776,4336405.774193549,151119.1935483871,0.0008171327913835941,0.6473100039240912
2020-04,105378853.95133333,23.293333333333344,2854.9333333333334,2893501.6,4524092.866666666,155596.3,0.0006310510012666555,0.6395760841514114
2020-05,107919515.41677415,23.26193548387097,997.3225806451613,2956850.4516129033,4639197.161290322,160107.2258064516,0.0002149774079374913,0.6373625325271798
2020-06,110801972.64233331,23.493000000000002,640.2666666666667,3011114.5,4716357.2,164415.26666666666,0.00013575449006845086,0.6384407228527983
2020-07,113700563.48548386,23.76064516129032,652.483870967742,3059303.806451613,4785115.483870967,168198.5806451613,0.00013635697469936684,0.6393375074778255
2020-08,117810552.41064516,24.372580645161293,465.19354838709677,3091533.709677419,4833547.677419355,171688.8064516129,9.624267296675657e-05,0.6395992997276067
2020-09,123518500.21566664,25.305333333333333,993.3666666666667,3121682.1,4880838.066666666,176448.2,0.00020352379101670943,0.6395791168158813
2020-10,136128344.27548385,27.418064516129036,1202.3225806451612,3167090.580645161,4964567.935483871,184628.64516129033,0.00024218070862756298,0.6379388139718308
2020-11,146605280.48733333,28.927666666666664,1133.5,3233485.8666666667,5067279.966666667,193022.43333333332,0.00022369002846819877,0.6381107592114557
2020-12,156980195.7058065,30.42451612903226,789.7096774193549,3295931.7419354836,5159231.483870967,201703.70967741936,0.00015306730854938036,0.6388416089177973
2021-01,171326823.29096776,32.769999999999996,755.5483870967741,3342289.6129032257,5227517.064516129,209361.09677419355,0.0001445329355738238,0.6393646489631489
2021-02,269683984.5239285,50.67607142857143,1924.357142857143,3397318.964285714,5315891.785714285,221980.0,0.0003620008119857863,0.6390873067460727
2021-03,543886295.1132257,98.31903225806451,2926.7419354838707,3518015.064516129,5519548.838709678,257476.1935483871,0.000530250210842969,0.6373736635580792
2021-04,803410181.1603334,140.449,1558.5,3648886.066666667,5716483.433333334,287729.6,0.0002726326452574401,0.638309567275168
2021-05,1164360620.2970965,197.79032258064515,1660.1290322580646,3767297.9677419355,5884431.70967742,312865.0967741936,0.00028212223612483246,0.6402144087331852
2021-06,1342639201.94,221.19366666666667,3342.0,3888527.3666666667,6067662.966666667,336068.86666666664,0.0005507886674588918,0.6408608039089668
2021-07,1602752777.2238708,246.3983870967742,5549.903225806452,4164724.1612903224,6499376.645161291,366204.0,0.0008539131564160525,0.6407882461144809
2021-08,3131968919.3616138,422.20677419354837,22237.645161290322,4585234.516129033,7324889.258064516,445915.32258064515,0.0030359018925517874,0.6259800461939826
2021-09,6471293282.220667,771.0229999999998,14130.5,5087430.666666667,8383503.466666667,543865.9666666667,0.001685512513495551,0.6068382612227226
2021-10,8591339369.382257,887.8854838709676,23501.290322580644,5760125.387096774,9666195.516129032,696160.3548387097,0.002431286464604026,0.5959040842372181
2021-11,9988907523.871666,923.1041666666669,13169.25,6480394.083333333,10820458.083333334,370740.3027743012,0.0012170695453535827,0.5989020089006244
