,average_price,floor_price,total_volume
cryptopunks,42.89146714840597,,811635.2328492862
autoglyphs,38.41692603676233,185.0,18171.20601538858
fidenza-by-tyler-hobbs,37.63084063961232,72.0,42522.849922761925
ringers-by-dmitri-cherniak,30.556614210978974,40.0,24414.7347545722
decentraland,15.496998849997926,4.64,270391.6359347638
boredapeyachtclub,14.966303410105406,106.9,364773.71301449905
neo-tokyo-identities,13.251959834710233,25.0,14033.825464958136
meridian-by-matt-deslauriers,12.462473798409212,6.69,16300.915728319249
bored-ape-chemistry-club,11.20395788224977,25.39,38283.924083647464
veefriends,10.97847570236529,12.4,39324.89996587247
fragments-of-an-infinite-field-by-monica-rizzolli,9.963848313353507,3.65,12674.015054585661
mutant-ape-yacht-club,8.895186597409374,24.78,221596.88851466234
cyberkongz,8.799170118448561,11.65,47726.69872246499
clonex,8.56912590986968,13.48,90335.72534184616
thecurrency,8.125727798988127,5.2,16812.130816106433
neotokyo-outer-identities,8.045558164120024,7.0,15415.289442453966
hapeprime,7.119870583381043,8.35,26094.32568809152
lootproject,6.547430536059336,2.499,73160.98880992702
somnium-space,6.231781363576662,0.69,27282.738809738625
metahero-generative,5.617114902455166,4.45,11661.130537496923
meebits,5.357852474117655,4.0,82896.69347954835
clonex-mintvial,5.06588124036291,24.0,29316.25473798016
azuki,4.583997378785418,9.4,69222.9444170386
art-blocks,4.484862153552915,,223799.10632444403
mekaverse,4.062479537457595,0.99999,46235.07961580488
tom-sachs-rockets,3.964483643321447,1.87,11453.39324555566
doodles-official,3.8044669655786474,14.09,71189.18585990765
decentraland-wearables,3.7383057966026825,0.00183998,85939.91195809907
collectvoxmirandus,3.6694218167426564,1.61,15892.265888312446
bored-ape-kennel-club,3.366539781909899,9.81,57621.69490716983
kaiju-kingz,3.276485747142913,1.97999,20212.64057412463
cryptoadz-by-gremplin,3.2750864764680956,3.7699,57772.525444897205
superrare,3.1251593761225043,0.2,63428.23469778235
cool-cats-nft,3.124026766318044,15.0,78434.94002194713
genesis-creepz,2.6851543882296958,3.9,18181.18036270327
art-blocks-playground,2.6346573363280745,,60225.63205112346
0n1-force,2.5780213380032473,0.87,46590.00162039469
anonymice,2.418527178159512,1.98,14259.636242428483
punks-comic,2.379107814399424,0.219,50703.54574048053
world-of-women-nft,2.2144810500712313,9.29,48100.74288859722
primeapeplanetpap,2.168421333591678,2.65,27139.961411233446
cryptovoxels,2.163752522606801,1.68999999,23277.649638203966
lil-heroes-by-edgar-plans,2.1596589762347906,1.269,15372.452592839241
hashmasks,2.0914429114126722,0.85,41324.82048660299
phantabear,2.0688292090470695,2.33,30010.43650643679
guttercatgang,1.9744885927006592,7.75,18534.52441968109
sandbox,1.9645218158158824,3.54,153572.56390777498
cryptobatz-by-ozzy-osbourne,1.9169287243549291,1.0999,13819.139173874684
emblem-vault,1.7761235144586474,0.045,30533.339337058605
wolf-game-migrated,1.6487088093239248,1.168,18353.42646539393
killergf,1.592751117218466,1.47,16190.315106525708
fluf-world,1.5898315125498665,5.37,28826.82498555418
the-doge-pound,1.5285213771573751,1.95,27030.372033651023
wolf-game,1.5042560479440306,5.0,13633.072562516749
cyberkongz-vx,1.4669931842005512,3.65,27030.81641207936
pudgypenguins,1.4630676208724047,1.25,47075.66376919049
sneaky-vampire-syndicate,1.43741004940854,1.225,20563.588166838574
creatureworld,1.4001114571838327,1.25,32926.421138592195
collectvox,1.3340421474087392,1.799,23231.009954975783
curiocardswrapper,1.3118690329235532,0.574,36026.547382146615
rumble-kong-league,1.3069480937069955,2.29,15833.676155260251
c-01-official-collection,1.2773118917953057,0.384,12811.438274706916
supducks,1.2111338296986787,1.92,21265.0877818494
888innercircle,1.197335467437533,1.349,17946.86132142118
acclimatedmooncats,1.1393780893496295,0.697,16457.17712256605
oxyaoriginproject,1.1290473105128815,0.34,11865.158186179873
the-sevens-official,1.1037324788355765,0.2,11969.978732971827
treeverse,1.0171720127423045,1.95,12316.935902296565
lazy-lions,1.0077596236728599,1.849,24830.189367675594
psychedelics-anonymous-genesis,0.996703107356695,1.497,11862.760383759383
metroverse,0.9927541157760025,1.29,12282.353920380703
nft-worlds,0.921337281684142,3.7,14675.060222665013
mirandus,0.9204563660870161,0.1,14546.892409639202
jungle-freaks-by-trosley,0.8997270509600431,0.3699,17991.84183804798
galacticapes,0.8875729250172353,0.219,17938.736387523342
cryptoskulls,0.8855245184204732,1.188,17838.891423580433
makersplace,0.8629553347637866,0.02,15937.059122417611
deadfellaz,0.8592956459454346,4.4,19626.312553393727
capsulehouse,0.8584985593045762,3.0,16758.75037618463
lostpoets,0.8474436892718868,0.25,28374.957047890588
galaxyeggs9999,0.8207766822304232,0.2,14554.012129309864
art-blocks-factory,0.7957585143401741,,48739.41324482132
adidasoriginals,0.7941759829967633,1.0,20305.491533261244
mutantcats,0.725243538374678,0.19,15834.242173334345
alienfrensnft,0.6905032378097727,2.95,16675.653193106013
koala-intelligence-agency,0.6871544964218556,0.113,12891.705507370432
bears-deluxe-old,0.6751725423105721,2.58,14773.450398297628
parallelalpha,0.6604067828742886,0.023,60634.58836281993
ens,0.6308214337301276,0.015,11788.790953548623
robotos-official,0.6041435891760633,1.139,13923.093156151554
peaceful-groupies,0.5766050762665446,0.43,11698.163787295656
thehumanoids,0.5745683402822044,0.309,11945.85036280731
mycryptoheroes,0.504882806486555,0.0008,27200.056316656664
adam-bomb-squad,0.47454532756767814,0.6998,14881.741472522386
zed-run-official,0.20000385768429682,0.012,45094.269780505354
town-star,0.18103788031182402,0.001349802,26935.358946434113
axie,0.15710523687016104,,27457.753563508653
sorare,0.11476026596547277,0.025,50247.897213248216
cryptokitties,0.09058800391324023,,70435.88715070473
rarible,4.8076315852969e-05,,99381.41097318471
